D	Extract packages/agent-runtime/ from AMS into klappy/agent-runtime as a standalone L4 canon-governed repo	Resolves the substrate-stack §"L4 runtime abstraction" Open Question (klappy://canon/architecture/substrate-stack, Tier-1, E0009). Trigger condition met: Oddie is canon-named role #1; TinCan observer / R2-ESE ingest-encoder is role #2 with concrete plans. Extraction is overdue, not premature. Operator confirmed D1 (name=klappy/agent-runtime), D4 (shape=single hosted Worker at runtime.klappy.dev), D6 (Truthkit positioning=generic runtime, no brand split now).
D	Repo shape is single hosted Worker at runtime.klappy.dev, NOT a library or monorepo	Matches klappy://docs/derivative-works precedent — oddkit.klappy.dev, odd.klappy.dev, klappy.dev, apocrypha.klappy.dev are all single hosted Workers, not libraries. Reversibility: forward = medium (consumers refactor to library if needed); backward = medium (stop the Worker). Migration to B (library) or C (monorepo) remains open if evidence demands but is not the day-one shape.
D	AMS retains L1 (wire) responsibilities only; runtime moves to its own L4 repo	Per klappy://canon/architecture/substrate-stack Layer Assignments. AMS hosts ams-broker (L1) and MCP edge wrapper (L2); runtime is L4 (Role/Agent) and moves out. AMS↔Think frame adapter stays AMS-side as Tier-2 constraint until non-AMS system consumes Think-via-AMS (deferred per 2026-05-11 journal Bide-cut item 6).
D	Persona profiles live in new repo's canon/personas/ directory; voice canon stays at klappy.dev	Per klappy://canon/methods/persona-shaped-agent-runtime §"Where Profiles Live" option 2. The profile YAML references the voice canon URI; two-doc maintenance is acceptable for cleaner separation. First concrete profile is canon/personas/oddie.yaml (PR-4).
C	6B evaluation row-by-row (canon-required per klappy://canon/constraints/borrow-evaluation-before-implementation)	Borrow=applied (derivative-works pattern + PR #93 source + klappy.dev pattern canon). Bend=applied (three bends: src/ flatten, wrangler route swap, knowledge_base_url already substrate-agnostic per 692f09b). Break=none-yet (no friction observed; surfaces when 2nd consumer arrives or schema needs extending). Beget=skipped (no upstream delegation). Bide=inspected-and-adopted (trigger condition met — two roles ship at canon level). Build=minimal (repo skeleton + AMS pointer doc + oddie.yaml). Reversibility: forward=medium, backward=high.
C	Cost-reframe thread does NOT block extraction	Per operator: cost-reframe (audit-gate → GHA + claude-code-action + subscription OAuth) is being handled in a separate thread. Extraction is robust to either outcome — audit-gate is one of many potential consumers, not load-bearing on the extraction decision. The runtime substrate has TinCan observer, R2/ESE pipeline, team chat assistant, meeting listener, Fireside, multi-role build workflow, and 10+ named adapters as canon-documented future consumers. Extraction earns its existence regardless of audit-gate's substrate.
C	Execution session must be fresh-context — planner does not implement	Per klappy://canon/principles/verification-requires-fresh-context. This planning session does not extract code. Execution is a separate session that reads the plan, the trigger canon, the 6B table, PR #93's merged state, and produces the 5 PRs in sequence. Planner ≠ builder; gate-discipline enforced.
L	Cost-reframe handoff doc HANDOFF-NEXT-SESSION.md was never committed	Initial confusion: extraction handoff explicitly demanded reading HANDOFF-NEXT-SESSION.md FIRST as conditional dependency. Zero matches in code search across AMS and klappy.dev for the filename. Tracked down to chat https://claude.ai/chat/a84492c9-af22-43b2-8eb2-7f8ea49906e0 (updated 2026-05-14T05:34:06Z — 90 seconds before this session opened) where the doc was created at /home/claude/ams/HANDOFF-NEXT-SESSION.md but never pushed. Operator clarified: cost-reframe is in another thread; this exploration is for TinCan and 12+ canon-documented applications. Lesson — when a handoff names a conditional dependency, verify its existence before assuming the conditional gate is unfired.
L	Canon explicitly named the extraction as a deferred decision, not a novel proposal	klappy://canon/architecture/substrate-stack §Open Questions: "L4 runtime abstraction. The first L4 implementation is Oddie, scaffolded for one role. Once two roles ship, the shared abstraction (a canon-driven-agent wrapper) becomes the next vodka layer. Naming and home for that abstraction is not yet canon." Extraction is the resolution of an already-flagged Open Question, not a fresh architectural decision. This means PR-3 (klappy.dev edit) is the canon-promotion that closes the open question, not net-new canon authoring.
L	Three Tier-1 canons govern the runtime layer and were authored in the last 4 days	klappy://canon/architecture/substrate-stack (2026-05-10) places L4 in the stack. klappy://canon/methods/persona-shaped-agent-runtime (2026-05-10) names the 8 runtime responsibilities. klappy://canon/principles/agents-need-their-own-wire (2026-05-10) names the L1 invariant. All three were authored as part of Epoch 9 declaration (2026-05-12). Extraction implements canon that's barely dry — fresh enough that the runtime's open questions are still listed inline in the source docs.
H	Execution session handoff content	Reads: (1) AGENT-RUNTIME-EXTRACTION-PLAN.md (this plan); (2) klappy://canon/architecture/substrate-stack §Open Questions for PR-3 resolution wording; (3) klappy://canon/methods/persona-shaped-agent-runtime §The Persona Profile for PR-4 oddie.yaml schema; (4) klappy://canon/constraints/release-validation-gate before merging PR-2; (5) PR #93's final state at merge as the extraction source; (6) klappy://canon/constraints/mode-transitions-require-encoded-handoff §Planning → Execution as the minimum handoff content this plan satisfies. Execution scope: 5 PRs in sequence per §6. Critical path: PR-1 → PR-2 → PR-5. PR-3 and PR-4 parallel after PR-2.
H	AMS post-extraction PR scope	Deletes packages/agent-runtime/ entirely. Adds packages/agent-runtime/README.md (file replacing directory) pointing at https://github.com/klappy/agent-runtime. Revises AUDIT-GATE-RUNTIME-MIGRATION-PLAN.md to reference runtime.klappy.dev as the substrate target. Updates AGENTS.md / CLAUDE.md if they mention the local runtime path. Operator memory entries about "AMS wrapper complexity: homepage.ts" are not addressed by this PR (separate concern).
O	The exploration session inventoried ~17 canon-named consumers across L2/L3/L4/L5	L4 personas: Oddie + the five mode-bound roles (explorer/planner/builder/validator/resolver) + 8 named-but-not-yet-profiled (audit-reviewer, docs-writer, research-scout, release-validator, release-resolver, governance-author, ingest-encoder, security-detector). L2 wrappers: 7 channel adapters (WhatsApp, Slack, Discord, SMS, email, cron, GitHub) + 4 AI-tool adapters (ChatGPT, Cursor, Lovable, n8n). L5 applications: TinCan + wedding-coordination + regulatory-compliance + director's chair + ODD methodology surfaces. Plus 9 trigger sources from klappy://canon/methods/trigger-source-taxonomy. Multiplicative composition: extraction earns its existence by a wide margin.
O	PR #93 is at 7 commits as of 2026-05-14T05:30:38Z, not the 2 the handoff doc describes	Latest commit 882415f4 (fix(agent-runtime): use SubstrateStreamError.errorType in retry check). Post-handoff commits include surface-enum validation, MCP server composition fix, dedup of task text, lone-surrogate handling, retry check refinements. The extraction snapshot is locked at PR #93's merge state, whatever that turns out to be — not at the handoff's claimed commit set.
O	The 2026-05-11 exploration journal (klappy://odd/ledger/2026-05-11-agent-runtime-exploration) explicitly flagged "agent-runtime as a separate repo is still the right shape" as unresolved	Quote: "Whether agent-runtime as a separate repo is still the right shape, or whether it could live as a subdirectory of an existing repo until it proves itself." Three days later (2026-05-14), the answer is: separate repo is the right shape, triggered by the two-roles condition canon set. This planning session resolves that open item.
E	Three operator decisions locked: D1 (name), D4 (shape), D6 (Truthkit)	D1=klappy/agent-runtime. D4=single hosted Worker at runtime.klappy.dev. D6=generic L4 runtime, hosts Truthkit roles when they materialize, no brand split now. Twelve other decisions (D2-D3, D5, D7-D12) inferred from canon with named sources in §3 of the plan.
Op	Subscribed-session backpressure policy	Deferred to TinCan observer's first deployment. Runtime exposes policy hook; defaults TBD when TinCan ships its first real WebSocket consumer.
Op	Profile discovery / registry endpoint	Deferred per canon (klappy://canon/methods/persona-shaped-agent-runtime §Open Questions). Extraction satisfies "second consumer exists" condition; revisit when third profile is authored.
Op	First non-Oddie persona profile	No timeline. Canon names 8 candidates (audit-reviewer, docs-writer, research-scout, release-validator, release-resolver, governance-author, ingest-encoder, security-detector); first one ships when its consumer demands it.
Op	klappy.dev PR-3 specific edit wording	Execution session writes the exact §"L4 runtime abstraction" resolution text. Plan §5 says what changes (Layer Assignments table; canon-pointer added); execution session authors the prose.
